14.684	50	0.27
2.801	20	0.45
14.684	30	0.48
1.061	100	0.77
6.697	60	0.38
1.791	80	0.45
5.647	30	0.37
8.086	10	0.49
10.677	80	0.81
6.265	30	0.32
1.061	90	0.72
9.443	90	0.60
1.621	80	0.50
10.677	90	0.84
3.589	80	0.60
2.801	30	0.59
14.684	50	0.50
1.061	10	0.41
6.936	20	0.77
2.801	60	0.61
14.684	40	0.62
1.061	100	0.50
14.684	40	0.33
5.647	30	0.72
1.061	100	0.48
3.589	90	0.76
4.314	40	0.31
7.863	10	0.56
8.086	100	0.86
6.936	20	0.81
8.523	90	0.44
4.999	40	0.69
6.697	60	0.42
0.827	60	0.52
12.814	20	0.60
4.314	60	0.42
3.389	70	0.59
11.605	80	0.67
8.086	50	0.36
6.697	90	0.72
1.791	10	0.31
7.863	50	0.67
7.863	50	0.74
8.086	100	0.87
9.477	40	0.41
6.697	70	0.41
10.677	100	0.75
9.477	30	0.49
0.827	60	0.53
8.086	100	0.31
14.684	60	0.56
0.827	30	0.35
11.605	50	0.79
3.589	50	0.39
1.791	10	0.73
4.999	50	0.45
6.936	70	0.80
12.814	80	0.27
3.389	80	0.67
3.589	60	0.30
3.389	30	0.46
11.605	50	0.45
3.389	60	0.65
10.564	40	0.71
0.827	30	0.54
6.265	10	0.65
7.863	100	0.80
3.389	70	0.77
0.827	80	0.69
1.061	40	0.71
6.697	80	0.53
3.389	100	0.87
1.791	40	0.75
6.265	70	0.40
3.389	70	0.69
5.647	40	0.61
6.265	50	0.68
6.697	60	0.67
8.086	50	0.87
6.936	30	0.46
6.265	50	0.78
1.621	20	0.56
4.999	10	0.33
10.564	70	0.46
9.443	90	0.64
6.265	60	0.33
1.061	60	0.55
1.621	80	0.40
1.061	50	0.53
11.605	80	0.73
10.677	20	0.63
11.605	80	0.34
1.061	70	0.47
10.677	90	0.50
2.375	30	0.44
4.314	50	0.37
11.605	90	0.70
2.801	60	0.79
14.684	40	0.29
6.936	60	0.73
1.791	100	0.38
8.523	10	0.43
3.589	90	0.54
2.801	70	0.36
6.697	90	0.48
3.389	10	0.41
4.999	80	0.59
1.621	100	0.57
12.814	10	0.85
9.443	70	0.46
8.523	10	0.86
14.684	100	0.73
2.801	30	0.68
3.589	60	0.45
14.684	100	0.52
6.697	50	0.76
0.827	10	0.36
8.523	50	0.55
5.647	20	0.86
6.697	90	0.40
6.936	90	0.29
10.677	30	0.87
4.314	30	0.70
3.589	70	0.85
3.389	90	0.52
3.389	20	0.48
10.564	20	0.57
7.863	100	0.63
10.564	100	0.64
8.086	10	0.41
10.677	30	0.72
12.814	20	0.86
10.677	30	0.87
6.936	10	0.38
3.389	10	0.31
5.647	50	0.67
7.863	20	0.65
1.621	90	0.50
2.801	70	0.52
8.086	10	0.42
0.827	80	0.47
12.814	60	0.54
2.375	80	0.28
8.086	90	0.86
3.589	40	0.45
6.265	60	0.35
0.827	60	0.57
7.863	50	0.86
4.999	40	0.29
11.605	100	0.55
9.477	50	0.26
10.677	100	0.74
3.589	50	0.85
2.801	40	0.54
1.791	80	0.66
14.684	80	0.44
6.265	50	0.57
2.801	80	0.65
8.523	60	0.37
8.523	80	0.49
4.999	80	0.80
6.265	80	0.53
7.863	100	0.58
1.791	10	0.59
8.523	100	0.42
6.697	100	0.85
2.801	60	0.52
9.477	30	0.44
8.523	60	0.77
3.389	90	0.84
10.677	60	0.56
8.086	70	0.40
2.375	10	0.49
14.684	10	0.34
2.375	30	0.86
9.477	10	0.27
9.477	70	0.56
2.375	90	0.55
10.677	10	0.29
4.314	100	0.30
11.605	10	0.81
0.827	90	0.79
1.061	10	0.80
5.647	80	0.33
5.647	20	0.75
10.564	70	0.26
4.999	10	0.54
3.389	100	0.27
9.477	40	0.34
1.061	10	0.62
0.827	20	0.75
2.375	50	0.59
2.375	80	0.25
10.677	40	0.85
10.564	100	0.73
4.999	90	0.38
4.314	50	0.86
9.443	70	0.61
5.647	40	0.33
11.605	80	0.86
